Formation;Nom anonymisé;Prénom anonymisé;Numéro;Genre;Date de naissance;Profil;Type établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Série;LV 1;LV 2
DUT INFO;XXX9754;Yyy219;446069;M;24/03/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Espagnol
DUT GIM;XXX2424;Yyy667;446074;M;12/03/2003;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Allemand
DUT INFO;XXX1102;Yyy191;446074;M;12/03/2003;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Allemand
DUT RT;XXX5574;Yyy291;446074;M;12/03/2003;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Allemand
DUT INFO;XXX8712;Yyy748;446075;M;02/03/2002;En Terminale;Lycée français;Lycée Barral;Castres;81;France;S;Anglais;Allemand
DUT CS;XXX7182;Yyy558;446753;F;28/12/2001;En Terminale;Lycée français;Lycée Sainte Thecle;Chamalières;63;France;ST2S;Anglais;Espagnol
DUT CS;XXX5667;Yyy672;447416;M;03/06/2002;En Terminale;Lycée français;Lycée Edme Bouchardon;Chaumont;52;France;ST2S;Anglais;Espagnol
DUT INFO;XXX7486;Yyy857;447687;F;01/06/2002;En Terminale;Lycée français;Lycée Jeanne D'Arc;Millau;12;France;S;Anglais;Allemand
DUT INFO;XXX5601;Yyy903;447716;M;20/11/2001;En Terminale;Lycée français;Lycée Jeanne D'Arc;Millau;12;France;STMG;Anglais;Espagnol
DUT INFO;XXX7118;Yyy118;448269;M;08/12/2002;En Terminale;Lycée français;Lycée Beausejour;Narbonne;11;France;S;Anglais;Espagnol
DUT GIM;XXX2359;Yyy641;448348;M;06/09/2002;En Terminale;Lycée français;Lycée Beausejour;Narbonne;11;France;ES;Anglais;Espagnol
DUT INFO;XXX1752;Yyy660;448398;M;12/03/2002;En Terminale;Lycée français;Lycée Beausejour;Narbonne;11;France;S;Anglais;Espagnol
DUT CS;XXX1370;Yyy850;448415;F;22/07/2002;En Terminale;Lycée français;Lycée Beausejour;Narbonne;11;France;ES;Anglais;Espagnol
DUT INFO;XXX4405;Yyy350;448432;M;30/07/2002;En Terminale;Lycée français;Lycée Beausejour;Narbonne;11;France;S;Anglais;Espagnol
DUT GIM;XXX8053;Yyy995;448808;M;06/03/2001;En Terminale;Lycée français;Lycée St Joseph De Tivoli;Bordeaux;33;France;S;Anglais;Espagnol
DUT INFO;XXX8808;Yyy348;450187;M;29/01/2002;En Terminale;Lycée français;Lycée Hector Berlioz;Vincennes;94;France;STMG;Anglais;Allemand
DUT RT;XXX3733;Yyy171;450638;M;29/04/2002;En Terminale;Lycée français;Lycée professionnel Le Sacre Coeur;Béziers;34;France;STI2D;Anglais;Espagnol
DUT GIM;XXX1839;Yyy496;450657;M;14/05/2002;En Terminale;Lycée français;Lycée professionnel Le Sacre Coeur;Béziers;34;France;STI2D;Anglais;Espagnol
DUT GIM;XXX5707;Yyy144;450716;M;28/01/2001;En Terminale;Lycée français;Lycée professionnel Le Sacre Coeur;Béziers;34;France;STI2D;Anglais;Espagnol
DUT RT;XXX1882;Yyy978;450720;M;13/10/2001;En Terminale;Lycée français;Lycée professionnel Le Sacre Coeur;Béziers;34;France;P;Anglais;
DUT INFO;XXX5583;Yyy720;450739;M;02/06/2002;En Terminale;Lycée français;Lycée Saint-Exupery;Parentis-en-Born;40;France;S;Anglais;Espagnol
DUT RT;XXX6640;Yyy161;450739;M;02/06/2002;En Terminale;Lycée français;Lycée Saint-Exupery;Parentis-en-Born;40;France;S;Anglais;Espagnol
DUT RT;XXX4663;Yyy904;450837;M;21/04/2002;En Terminale;Lycée français;Lycée Saint-Exupery;Parentis-en-Born;40;France;STI2D;Anglais;Espagnol
DUT INFO;XXX4041;Yyy707;450867;M;21/02/2002;En Terminale;Lycée français;Lycée Saint-Exupery;Parentis-en-Born;40;France;S;Anglais;Espagnol
DUT INFO;XXX3658;Yyy914;450968;M;25/06/2002;En Terminale;Lycée français;Lycée Saint-Exupery;Parentis-en-Born;40;France;S;Anglais;Allemand
DUT INFO;XXX2138;Yyy959;451781;M;04/07/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT GIM;XXX9084;Yyy265;451820;M;13/03/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT CS;XXX9050;Yyy575;451884;F;07/01/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;S;Anglais;Espagnol
DUT INFO;XXX8364;Yyy905;451961;M;11/04/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT INFO;XXX7757;Yyy593;451987;M;26/06/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT RT;XXX6333;Yyy907;451994;M;12/02/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT GIM;XXX7893;Yyy644;452027;M;01/11/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT INFO;XXX5083;Yyy326;452078;M;22/01/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;STI2D;Anglais;Espagnol
DUT INFO;XXX3492;Yyy656;452094;M;16/02/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;S;Anglais;Espagnol
DUT CS;XXX5237;Yyy639;452145;F;19/09/2001;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;L;Anglais;Allemand
DUT INFO;XXX7385;Yyy485;452152;M;23/05/2003;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;S;Anglais;Espagnol
DUT INFO;XXX2690;Yyy502;452170;F;12/10/2002;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;L;Anglais;Espagnol
DUT INFO;XXX7143;Yyy259;452183;M;16/03/2003;En Terminale;Lycée français;Lycée Val De Garonne;Marmande;47;France;S;Anglais;Espagnol
DUT INFO;XXX6099;Yyy643;454651;M;23/07/2002;En Terminale;Lycée français;Lycée Ernest Renan;Saint-Brieuc;22;France;S;Anglais;Allemand
DUT RT;XXX8085;Yyy657;455292;M;10/12/2000;En Terminale;Lycée français;Lycée Edouard Branly;Créteil;94;France;P;Anglais;
DUT RT;XXX6404;Yyy982;456857;M;26/03/2002;En Terminale;Lycée français;Lycée Roumanille;Nyons;26;France;S;Anglais;Espagnol
DUT CS;XXX4682;Yyy496;456895;F;11/11/2002;En Terminale;Lycée français;Lycée Roumanille;Nyons;26;France;STMG;Anglais;Allemand
DUT CS;XXX4671;Yyy217;457307;F;23/11/2002;En Terminale;Lycée français;LGT Pays De Retz;Pornic;44;France;ES;Anglais;Espagnol
DUT INFO;XXX9349;Yyy294;457876;M;04/02/2002;En Terminale;Lycée français;Lycée Marcel Dassault;Rochefort;17;France;S;Anglais;Espagnol
DUT RT;XXX4372;Yyy882;457876;M;04/02/2002;En Terminale;Lycée français;Lycée Marcel Dassault;Rochefort;17;France;S;Anglais;Espagnol
DUT RT;XXX2761;Yyy387;457916;M;10/10/2001;En Terminale;Lycée français;Lycée Marcel Dassault;Rochefort;17;France;STI2D;Anglais;Espagnol
DUT INFO;XXX6113;Yyy694;458013;M;27/09/2002;En Terminale;Lycée français;Lycée Marcel Dassault;Rochefort;17;France;STI2D;Anglais;Allemand
DUT RT;XXX7511;Yyy908;458013;M;27/09/2002;En Terminale;Lycée français;Lycée Marcel Dassault;Rochefort;17;France;STI2D;Anglais;Allemand
DUT GIM;XXX1165;Yyy383;458864;M;03/06/2002;En Terminale;Lycée français;Lycée Général, Technologique et Professionnel St Joseph;Hasparren;64;France;STI2D;Anglais;Espagnol
DUT INFO;XXX1027;Yyy999;458917;M;17/10/2002;En Terminale;Lycée français;Lycée Général, Technologique et Professionnel St Joseph;Hasparren;64;France;STI2D;Anglais;Espagnol
